,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,uuid,ord_in_thread,author,published,title,text,language,crawled,site_url,country,domain_rank,thread_title,spam_score,main_img_url,replies_count,participants_count,likes,comments,shares,type
0,0,0,2645,2645,2645,2645,c11f23b5735f83ebf609a4bf6caf47860740f211,0,noreply@blogger.com (Der Postillon),2016-11-09T18:25:14.353+02:00,"""Donald, willst du mich heiraten?"": Clinton hat Kampf ums Weiße Haus noch nicht aufgegeben","Mittwoch, 9. November 2016 ""Donald, willst du mich heiraten?"": Clinton hat Kampf ums Weiße Haus noch nicht aufgegeben New York (dpo) - Schafft sie es doch noch ins Weiße Haus? Nachdem Donald Trump zum nächsten Präsidenten der Vereinigten Staaten von Amerika gewählt wurde, hat ihm seine unterlegene Kontrahentin Hillary Clinton nicht nur gratuliert, sondern ihm auch völlig überraschend einen Heiratsantrag gemacht. ""Donald, wir hatten in den letzten Monaten viele Meinungsverschiedenheiten, aber du hast sicher auch gemerkt, dass da immer diese besondere Spannung zwischen uns beiden in der Luft lag"", so Clinton in einer öffentlichen Videobotschaft an Trump. ""Nach reiflicher Überlegung habe ich mich dazu entschlossen, auf mein Herz zu hören und heute um deine Hand anzuhalten. Wo du hingehst, will ich auch sein. Nichts ist mir wichtiger als eine Zukunft im Weißen Haus. Mit dir. Im Weißen Haus."" Anschließend lobte sie den designierten Präsidenten als brillanten Mann mit wundervollem Haar und großen, starken Händen und forderte ihn auf, sich von seiner Ehefrau Melania zu trennen: ""Donald, ich habe acht Jahre als First Lady mit einem Mann verbracht, der seine Finger nicht von Frauen lassen kann und dabei exzellente PR-Arbeit geleistet. Ich glaube es ist keine Frage, mit wem von uns beiden ein so… äh... freiheitsliebender Mann wie du eine glücklichere Zukunft hätte."" Sie selbst habe bereits in den frühen Morgenstunden die Scheidung von ihrem Ehemann Bill eingereicht. ""Der Weg in unser Glück ist frei, mein lieber Donny. Bald bin ich deine Hillary Rodham Trump."" Eine Antwort von Donald Trump steht derzeit noch aus. pfg, dan, ssi; Foto oben: Zachary Moskow , CC BY-SA 4.0 Artikel teilen:",german,2016-11-09T18:25:14.353+02:00,der-postillon.com,US,22680.0,"""Donald, willst du mich heiraten?"": Clinton hat Kampf ums Weiße Haus noch nicht aufgegeben",0.0,https://1.bp.blogspot.com/-QLt9FgT0nQo/WCNGPPFzYRI/AAAAAAAAmBA/erIj4SWjN1sFGl4s0_aju2SzBRqOfcEWgCLcB/w1200-h630-p-nu/HRT2.jpg,0,1,0,0,0,bs
1,1,1,8277,8277,8277,8277,a10883bb209cce38da669e29c06c29cdb7ca22c8,0,RT en español,2016-10-27T05:15:33.164+03:00,"""Era muy buena gente"": enfermera, acusada de asesinar a 8 pacientes en Canadá","""Era muy buena gente"": enfermera, acusada de asesinar a 8 pacientes en Canadá  52 GMT 
Las muertes tuvieron lugar entre los años 2007 y 2014 en residencias para personas de edad avanzada. Geoff Robins Reuters   
Elizabeth Tracy Mae Wettlaufer, una enfermera de 49 años, ha sido acusada de haber asesinado a ocho pacientes de edad avanzada en la provincia canadiense de Ontario, según ha declarado en una rueda de prensa este martes la Policía, citada por CBC News . 
Las muertes tuvieron lugar entre los años 2007 y 2014 en residencias para personas mayores en las localidades de Woodstock y Londres. Según los datos disponibles, las víctimas tenían entre 75 y 96 años. Siete pacientes fallecieron debido a una dosis letal de un medicamento, mientras que la causa del deceso de la otra víctima no ha sido revelada. 
Wettlaufer fue registrada como enfermera en la provincia en 1995 y renunció al Colegio de Enfermería de Ontario a finales del pasado mes de septiembre, después de que la Policía iniciase una investigación acerca de la muerte de ocho pacientes. 
Los amigos y vecinos de Wettlaufer quedaron en estado de 'shock' tras conocer la noticia. Según la vecina Karen Price, la enfermera "" era muy buena gente , y era fácil hablar con ella"". El enfermero que ""se aburría"" en Alemania y otro caso en Japón 
El pasado mes de junio fue abierta una investigación por la muerte de 33 personas en un hospital de Delmenhorst (Baja Sajonia, Alemania). Niels H., un antiguo enfermero que en el 2015 fue condenado a cadena perpetua por asesinar a dos de sus pacientes, podría haber estado involucrado en esas muertes. 
Durante el juicio, el acusado expresó sus condolencias a las familias de las víctimas y declaró que, ""por aburrimiento"" , inyectaba sobredosis de medicamentos a algunos enfermos para disminuir su presión sanguínea, con el objetivo de llevarlos al borde de la muerte y demostrar su capacidad para reanimarlos. 
El pasado mes de septiembre la Policía japonesa emprendió la búsqueda de un 'ángel de la muerte' que habría matado hasta a 48 pacientes de un hospital de Yokohama envenenando sus sueros intravenosos. Todas las muertes se registraron entre julio y septiembre, y todas las víctimas estaban internadas en la misma planta del centro médico.",spanish,2016-10-27T05:15:33.164+03:00,rt.com,US,538.0,"""Era muy buena gente"": enfermera, acusada de asesinar a 8 pacientes en Canadá",0.0,https://esp.rt.com/actualidad/public_images/2016.10/article/580fdf62c36188335d8b4584.jpg,0,1,454,0,454,bs
2,2,2,2669,2669,2669,2669,724f46afd9b3524b7d238ccdbc2a0593249067a1,0,noreply@blogger.com (Der Postillon),2016-11-18T14:10:24.068+02:00,"""Gaagnagna"" zum Babywort des Jahres 2016 gewählt","Freitag, 18. November 2016 ""Gaagnagna"" zum Babywort des Jahres 2016 gewählt München (dpo) - Das Babywort des Jahres 2016 heißt ""Gaagnagna"". Das gab der Langenscheidt-Verlag heute bekannt. Das Kompositum aus ""Gaaaa"" und ""Gnagnagna"" meint in der Babysprache jeden beliebigen Menschen, der sich über ein Kind beugt und mit ihm interagiert. Auch Gegenstände, Geräusche oder Emotionen können als ""Gaagnagna"" bezeichnet werden. ""Der Begriff 'Gaagnagna' beschreibt punktgenau die Selbstverständlichkeit vieler Babys im Umgang mit absolut beliebigen Menschen oder Gegenständen, die ihr Interesse wecken"", erklärt Jurorin Ulrike Reichwein. ""Es hat sich damit absolut verdient gegen 'pfffrrtz' und 'huwäääh, huwäääh, huwääh' durchgesetzt. Im vergangenen Jahr hatte die Jury den Begriff ""amamamama"" zum Babywort des Jahres gekürt; 2014 machte ""b "" das Rennen. Die Kriterien für das Babywort des Jahres sind sprachliche Kreativität, Originalität, Verbreitungsgrad sowie gesellschaftliche oder kulturelle Ereignisse, die die Sprache der Babys beeinflussen. dan, ssi; Foto: Shutterstock; Hinweis: Erstmals erschienen am 13.11.15; an 2016 angepasst. Artikel teilen:",german,2016-11-18T14:10:24.068+02:00,der-postillon.com,US,22680.0,"""Gaagnagna"" zum Babywort des Jahres 2016 gewählt",0.0,https://3.bp.blogspot.com/-BuNSrcSj1wg/VkX-EXoKYxI/AAAAAAAAg0k/pLbV7O2Uo2M/w1200-h630-p-nu/shutterstock_115992457.jpg,0,1,0,0,0,bs
3,3,3,2668,2668,2668,2668,c62ca39a2c75342250548caae0f5dc11d2ed549f,0,noreply@blogger.com (Der Postillon),2016-11-18T13:29:58.226+02:00,"""Zu unseriös"": Auch Lothar Matthäus sagt HSV als Sportdirektor ab","Freitag, 18. November 2016 ""Zu unseriös"": Auch Lothar Matthäus sagt HSV als Sportdirektor ab Hamburg (dpo) - Der krisengeschüttelte HSV muss auf der Suche nach einem neuen Sportdirektor erneut schlechte Nachrichten verkraften: Wie zuvor schon Jonas Boldt, Christian Hochstätter, Nico-Jan Hoogma und Horst Heldt hat nun auch Lothar Matthäus eine Anstellung beim Hamburger SV abgelehnt, weil ihm das Umfeld im Verein zu unseriös erschien. ""Ich habe als international bekannter Star an meinen guten Ruf zu denken"", erklärte Matthäus die Absage. ""Klar, ich wollte schon immer gerne in die sportliche Leitung eines Bundesliga-Vereins wechseln, aber so verzweifelt bin ich auch wieder nicht."" Der Rekordnationalspieler habe ernsthafte Sorge, zur Lachnummer zu werden, falls er zum HSV wechsle. ""Und das darf nicht passieren!"", so Matthäus, während er gerade ein Kamerateam für den Dreh einer Homestory empfing. ""Anasdasiaaaa! Die von VOX sind da!"" Augenzeugenberichten zufolge soll HSV-Chef Dietmar Beiersdorfer nach Matthäus' Absage dazu übergegangen sein, wildfremden Menschen auf der Straße den gutbezahlten Posten als Sportdirektor anzubieten – bislang vergeblich. Idee: sha; dan, ssi; Foto: Shutterstock Artikel teilen:",german,2016-11-18T13:29:58.226+02:00,der-postillon.com,US,22680.0,"""Zu unseriös"": Auch Lothar Matthäus sagt HSV als Sportdirektor ab",0.0,https://2.bp.blogspot.com/-LqGmj9KQMjA/WC7jfDi8lXI/AAAAAAAAmKs/Fot_rdETRtY-WLzL6MgYZchqq5V1st98gCLcB/w1200-h630-p-nu/Loddar.jpg,0,1,0,0,0,bs
4,4,4,17,17,17,17,162b39e6518af4e591acdd65d719b4f858596b3e,0,EdJenner,2016-11-12T19:55:23.883+02:00,#BoycottComedian…ROBERT DENIRO Wanted “To Punch Trump In The Face”…Supports Anti-Trump Rioters…Now Wants Americans To Support His New Movie [VIDEO],"Go to Article Donald Trump was willing to give up a very fulfilling life that took decades to build, so he could step up and take control of an out of control government. He and his family have already sacrificed so much because he chose to put his country first. Making sacrifices is certainly not something loudmouth liberals like Robert DeNiro are accustomed to. DeNiro was very vocal about his opposition to the wildly successful business man Donald J. Trump. He felt so strongly about his hate for Trump that made a video where he angrily stated he’d like to, “punch him in the face.” Now that Trump won the election in a landslide, DeNiro has chosen to get behind the Trump rioters who are terrorizing cities across America. Anti-Trump rioters are breaking windows, using baseball bats to smash the windshields of innocent citizens who get trapped in their hellish protests as they try to escape. Women who are taking part in the protests are being punched in the faces by men who are also taking part in the George Soros funded protests. American flags are being burned and families who are walking in major cities are being subjected to the most vile and disgusting, hateful language and images imaginable. If this is the kind of America that Robert DiNero is openly supporting? And if so, why would any American pay to see his movie,”Comedian”? 
Robert De Niro gave anti-Donald Trump protesters across the United States his backing Friday as he spoke about how “depressed” the tycoon’s win in the presidential election had made him. 
The 73-year-old star was on the red carpet at the world premiere of his new film “The Comedian” in Los Angeles when he was asked how he was coping with Trump’s victory over Democratic rival Hillary Clinton. 
“How am I doing? I’m very depressed,” the famously laconic “Raging Bull” actor told reporters. 
“We have to just wait and see how things go and keep our eyes ever vigilant on the new government.” 
Asked if he thought the protests were an appropriate response to the outcome of Tuesday’s election, he replied: “Yes, absolutely. Things aren’t being done right.” 
Demonstrators took to the streets in Miami, Los Angeles, New York and other US cities for a third straight night on Friday. 
In Manhattan, they held signs reading “Your Wall Can’t Stand in Our Way” — a reference to the anti-immigration barrier the billionaire has promised to build on the US border with Mexico. 
De Niro hasn’t minced his words in his criticism of Trump, describing him as “a punk,” “a pig” and “an idiot.” 
“I’d like to punch him in the face,” he said before the election. 
Earlier in the day a town in southern Italy where De Niro’s grandparents came from offered the actor a means of escape. 
“If, after the disappointment of Trump, he wants to take refuge here, we are ready to welcome him,” said Antonio Cerio, the mayor of Ferrazzano. 
“The Comedian,” De Niro’s passion project which took him eight years to bring to the big screen, was part of this year’s program for the American Film Institute’s annual AFI Fest in Los Angeles. – Yahoo 
Here’s a clip of Trump-hater Megyn Kelly promoting DiNero’s hateful rant against Donald J. Trump:  ",english,2016-11-12T19:55:23.883+02:00,100percentfedup.com,US,25689.0,#BoycottComedian…ROBERT DENIRO Wanted “To Punch Trump In The Face”…Supports Anti-Trump Rioters…Now Wants Americans To Support His New Movie [VIDEO],0.0,http://conservativeangle.com/wp-content/uploads/2016/11/2544872-thumb.jpg,0,1,0,0,0,bias
5,5,5,2167,2167,2167,2167,b6d1a0f535e3452a6e2fa36e69308b2b5b4b2e6b,0,Eric Striker,2016-10-28T19:17:25.158+03:00,#DraftOurDaughters: Feminist Hillary Supporters Vow To Fight War With Russia For Us,"#DraftOurDaughters: Feminist Hillary Supporters Vow To Fight War With Russia For Us 
Eric Striker October 28, 2016 Liberated af 
Women have come a long way since the sexual revolution. Through subsidization and affirmative action that makes up centuries of mean-spirited discrimination, they’ve shown their grit in a number of fields the Old Boys Club never thought possible. They’ve blown past the fitness tests which lives hinge on as firefighters , they demonstrate amazing coolness and discipline as police officers , and have become billionaires revolutionizing blood work as we know it. 
Anything you can do, women can do better! I don’t know why men even exist anymore! 
A majority of women are, according to most polls, hopeful that they will be able to push new frontiers by electing the first female president of the United States. And while the Patriarchy has in the past asserted that a world run by women would essentially mean world peace, sexist bigots will be proven wrong if Hillary takes office and makes good on her promise to start a nuclear war with Russia over Syria for no coherent reason. Gen X and single women, who are too confident and smart for any man to want to marry, are the biggest Hil fanatics. 
Rawwrrr, come turn off this Pussy Riot, Putin! 
Yet, even with all this progress, there’s still one last He-Man Woman-Hater’s club that looks down on women from their glass ceiling, hogging up all the glory for themselves. Did I say glass ceiling? I meant grass floor: Mmmm , Man Tears 
The only place in modern American culture where you will see a white male portrayed with dignity, honor and pride is in military recruitment ads. In these ads, the black man is shown at best as a white man’s equal, rather than as a smarter, better-looking, more masculine superior, in contrast to many movies, TV shows and most commercials. In the last Iraq War, white privilege and racism meant that in our very diverse country, non-Jewish white males were overrepresented among fatalities, and are heavily over represented in frontline and infantry roles. 
While Neo-conservative (((Jennifer Rubin))) and others of her (((ilk))) dedicate their columns to mocking, attacking and threatening white males based on nothing but who you are, the mange-inflicted yentl buckles at the knees when you put on that uniform and die in one of the many wars she pushes for. 
Get it through your thick skull you racist, privileged, baby-dicked white boy goyim: the only thing you’re good for is to fight for Israel! 
In light of this institutional patriarchy and privilege, #DraftOurDaughters has emerged to raise consciousness. This social media campaign is composed of Hillary Clinton’s coalition of non-whites and women – shut out of military combat roles by worthless racist rednecks – eager to make her dream of a World War with an emerging and more advanced superpower come true. 
We need women, blacks, Mexicans, and especially Jews (.02% of the US military while 2% of the US population) to come on in. Women especially, who have been shut out of Selective Service for the draft, should be given priority over men when the draft comes in order to mitigate decades of discrimination. 
Here are some of the memes already floating around. #DraftOurDaughters is grassroots progress Martin Luther King Jr. (Peace Be Upon Him) would be proud of. I encourage you to make your own and put them up on Twitter, we’ll show that rude bigot Vladimir Putin what the New America can do:",english,2016-10-28T19:17:25.158+03:00,dailystormer.com,US,36674.0,#DraftOurDaughters: Feminist Hillary Supporters Vow To Fight War With Russia For Us,0.0,http://www.dailystormer.com/wp-content/uploads/2015/05/femen-630x330.jpg,0,1,0,0,0,bs
6,6,6,4981,4981,4981,4981,b13bb19688e4d74b83b7f4296e0f8088247946a6,0,Kit Daniels,2016-10-28T21:12:09.621+03:00,#DraftOurDaughters: Pro-War Hillary Faces Backlash Over Female Draft,"#DraftOurDaughters: Pro-War Hillary Faces Backlash Over Female Draft Hillary combines equality with war against Russia Kit Daniels - October 28, 2016 Comments 
Hillary Clinton’s support for a female draft is sparking outrage as she continues to fuel war tensions with Russia. 
Clinton initially backed requiring women to register for the draft back in June, but the backlash really exploded as Clinton started taunting Russia after the last presidential debate. 
The Twitter hashtag #DraftOurDaughters is trending, with memes mocking Hillary’s “total war” policies which could easily ignite World War 3.",english,2016-10-28T21:12:09.621+03:00,infowars.com,US,2774.0,#DraftOurDaughters: Pro-War Hillary Faces Backlash Over Female Draft,0.0,http://hw.infowars.com/wp-content/uploads/2016/10/102816draftourdaughters2.jpg,0,1,0,0,0,conspiracy
7,7,7,6186,6186,6186,6186,890b8cca7d626003e2fa1f251cf8e72685c9abfe,0,Kit O'Connell,2016-11-09T15:29:11.093+02:00,#NoDAPL Spills Over: Musicians Boycott Dakota Access Pipeline CEO’s Record Label & Festival,"Videos #NoDAPL Spills Over: Musicians Boycott Dakota Access Pipeline CEO’s Record Label & Festival ‘I do not play for oil interests. I do not play for companies who defile nature, or companies who attack demonstrators with trained attack dogs and pepper spray,’ declared singer-songwriter Jackson Browne. Be Sociable, Share! A water protector stares down police off highway 134, October 27. (Photo: Derrick Broze) 
AUSTIN, Texas — When it comes to the Dakota Access pipeline, musicians want to stop the music. 
Kelcy Warren, CEO of Energy Transfer Partners, the corporation building the controversial $3.8 billion pipeline, also owns Music Road Records, a small record label which presents the annual Cherokee Creek Music Festival in Austin, Texas. 
The Indigo Girls announced in September that they would not be playing at the next festival, slated for May 2017. 
Reaffirming their support for “ Standing Rock, the Standing Rock Sioux, their friends and allies in protecting their sacred land and water by stopping the construction of the Dakota Access Pipeline and all pipelines that carry dirty oil and threaten massive ecosystems, ” the folk rock duo also encouraged other musicians to cancel their plans to perform at the festival. 
Emily Saliers, one half of the Indigo Girls, recently explained that she hadn’t realized Warren was responsible for both the pipeline and the music festival until a fan alerted her to the connection via Facebook. 
“Once we found out, we immediately started talking about what can we do to rectify the situation and our presence in something that is completely the antithesis of what we stand for as artists and as allies for Native communities,” Saliers told Democracy Now! host Amy Goodman on Thursday. 
In addition to playing at the festival twice, Saliers and her musical partner, Amy Ray, also contributed a song to a tribute album published by Music Road to honor the legacy of singer-songwriter Jackson Browne. Saliers and Ray said they reached out to Browne and the other musicians on the album, then contacted Warren to inform him of the growing boycott. VIDEO: Emily Saliers of the @Indigo_Girls reads letter to #DAPL CEO Kelcy Warren, urging him to halt construction on Dakota Access pipeline pic.twitter.com/gD98Uu7rdY 
— Democracy Now! (@democracynow) November 4, 2016 
Ray read from the letter to Warren on Democracy Now!: “Sadly, we realized that the bucolic setting of your festival and the image it projects is in direct conflict with the proposed Dakota Access pipeline, a project your company, Energy Transfer Partners, is responsible for spearheading. This pipeline violates the Standing Rock Sioux nation’s treaty rights, endangers the vital Missouri River, and continues the trajectory of genocide against Native peoples.” 
In a statement published by Indian Country Today Media Network , Browne vowed to donate all the profits from the Music Road tribute album to the Standing Rock “ water protectors .” Like Saliers and Ray, Browne said he’d been unaware of Warren’s involvement in the pipeline when he met him and agreed to have Music Road produce the album. He continued: “I do not play for oil interests. I do not play for companies who defile nature, or companies who attack demonstrators with trained attack dogs and pepper spray. The list of companies I have denied the use of my music is long. I certainly would not have allowed my songs to be recorded by a record company whose owner’s other business does what Energy Transfer Partners is allegedly doing — threatening the water supply and the sacred sites of indigenous people.” 
Amy Goodman noted in a Nov. 3 editorial co-written with Denis Moynihan that, “Kelcy Warren is a Texas oil billionaire several times over, and might not be easily deterred by a threatened boycott.” 
The notion that Warren may not be moved by a boycott isn’t stopping music fans from taking up the cause. A group of activists and fans from Denton, Texas, are asking musician Hal Ketchum to end his association with Music Road, and they’re planning to protest his concert there on Wednesday night. 
In addition to dabbling in the music industry, Warren and Energy Transfer Partners also spend millions influencing U.S. elections . Energy Transfer Partners PAC spent over $869,000 in the 2014 and 2016 federal election cycles, according to OpenSecrets , a project of the Center for Responsive Politics. 
Andrew Wheat, research director at Texans for Public Justice , an Austin-based nonprofit that tracks the influence of money and corporate power, told MintPress News that Warren, himself, has spent far more influencing elections on the state level. He was awarded a position on the board of the Texas Parks and Wildlife Commission, likely due to his largesse.",english,2016-11-09T15:29:11.093+02:00,mintpressnews.com,US,68691.0,#NoDAPL Spills Over: Musicians Boycott Dakota Access Pipeline CEO’s Record Label & Festival,0.0,http://www.mintpressnews.com/wp-content/uploads/2016/11/facetoface-800x533.jpg,0,1,0,0,0,bs
8,8,8,6120,6120,6120,6120,d9d078bde6ea317a65c4e1a913d30942ddeb50f5,0,Common Dreams,2016-10-31T18:18:30.311+02:00,"#NoDAPL: Native American Leaders Vow to Stay All Winter, File Lawsuit Against Police","Videos #NoDAPL: Native American Leaders Vow to Stay All Winter, File Lawsuit Against Police Amnesty International are sending a delegation of human rights observers to monitor the response of law enforcement to the protests. Be Sociable, Share! (Rob Wilson photo) 
Native American leaders vowed on Saturday to protest through the winter against a North Dakota oil pipeline they say threatens water resources and sacred lands and are planning lawsuits over police treatment of arrested protesters. 
Standing Rock Sioux Chairman Dave Archambault II said he and other tribal leaders were working on providing food, heat and shelter for protesters opposed to the $3.8 billion Dakota Access Pipeline. 
“We’re just working through some technical details as far as where the land is, and the type of land that can be used for some permanent structures,” Archambault told reporters in Mandan, North Dakota on Saturday morning. 
At least 10 shelters were being readied on tribal land against temperatures that can fall below -35 Fahrenheit (-37 Celsius) for days at time, he said. 
“It doesn’t have to put our water at risk,” said Archambault, who was joined by Cheyenne River Sioux Chairman Harold Frazier. 
The two leaders said they’re considering taking legal action against law enforcement. Standing Rock Chairman Dave Archambault II said more than 40 people were injured, including broken bones and welts from rubber bullets and bean bag rounds fired by law enforcement on Thursday, Oct. 27th. 
Archambault said his tribe may pursue a class action over police tactics. Officers in riot gear swept through a protester camp on private land using pepper spray, bean bag rounds and an audio cannon aiming high-pitched “sound cannon” blasts against demonstrators. At least 142 people were arrested on Thursday and Friday. 
Protesters had numbers written on their arms and were housed in what appeared to be dog kennels, without bedding or furniture. 
“It’s just wrong to use that type of force on innocent people,” Archambault said Saturday, Oct. 29, during a press conference in front of the Morton County Sheriff’s Department. 
Cheyenne River Sioux Chairman Harold Frazier said he has heard reports of inhumane treatment while people were incarcerated. 
“All they’re doing is standing up to protect that water,” Frazier said. Here come reinforcements! As police attack & arrest land protectors thousands of buffalo storm #StandingRock https://t.co/NoQyIsWbxv #NoDAPL pic.twitter.com/oMa647HviB 
— RoseAnn DeMoro (@RoseAnnDeMoro) October 28, 2016 
Meanwhile, Amnesty International USA (AIUSA) announced that they are sending a delegation of human rights observers to monitor the response of law enforcement to the protests. 
AIUSA also has sent a letter to the Morton County Sheriff’s Department expressing concern about the degree of force used against the protests. The organization will also call on the Department of Justice to investigate police practices. 
AIUSA sent a delegation of observers to the area in August and has stayed in contact both with the Indigenous community and those policing the protests since then. Letters had previously been sent to the North Dakota Highway Patrol and the Morton County Sheriff’s office calling for law enforcement officers to respect international human rights standards on the policing of protests. 
“Our observers are here to ensure that everyone’s human rights are protected,” said Eric Ferrero, director of communications for AIUSA. “We’re deeply concerned about what we heard during our previous visit to Standing Rock and what has been reported to us since.” 
In some instances, police have responded to protesters with pepper spray and bean bags, and in one instance, private security staff used guard dogs. Those recently arrested have reported being strip searched and forced to pay bail for minor offenses. Members of the media and legal observers have also been arrested or charged with minor offenses. 
“People here just want to stand up for the rights of Indigenous people and protect their natural resources. These people should not be treated like the enemy,” said Ferrero “Police must keep the peace using minimal force appropriate to the situation. Confronting men, women, and children while outfitted in gear more suited for the battlefield is a disproportionate response.” 
This picture should be shared far & wide. I can only see wrong doing from one side and it isn’t the elder! Bullying cretins! #NoDAPL pic.twitter.com/avNjgfYGnz 
— Crystal Johnson (@Crystal1Johnson) October 29, 2016",english,2016-10-31T18:18:30.311+02:00,mintpressnews.com,US,68691.0,"#NoDAPL: Native American Leaders Vow to Stay All Winter, File Lawsuit Against Police",0.0,http://www.mintpressnews.com/wp-content/uploads/2016/10/native-american-protests-800x419.jpg,0,1,0,0,0,bs
9,9,9,7856,7856,7856,7856,3fed24148e664230e0893b26589d581c8b1b1444,0,Ariana,2016-11-07T05:52:48.156+02:00,$6 Million Later: North Dakota Police Can’t Afford The Pipeline Protest,"Law enforcement in North Dakota is running out of money protecting the Dakota Access oil pipeline. 

A legislative committee will be reviewing an emergency request to borrow more money from the Bank of North Dakota to cover the cost of law enforcement’s involvement in the Dakota Access pipeline protests. 

The department has used an increasing amount of money since the Emergency Management Assistance Compact, which was supposed to be saved for natural disasters, but is now used to protect the pipeline that is planned to go through 1851 treaty land. 

To fight for companies behind the DAPL, officers from at least 6 states have been deployed. North Dakota is responsible for reimbursing out-of-state police agencies for costs that have to do with wages, overtime, officer benefits, meals while on duty, a per diem while off duty, lodging and mileage for the communities that sent vehicles. 

Governor Jack Dalrymple will vote on Tuesday, November 8th on whether to borrow $4 million from the state-owned bank. 

The panel has already borrowed and spent $6 million from the bank in September. 

North Dakota officials have also requested federal officials to reimburse the state for the additional law enforcement costs. 

All of this money going towards the police brings a lot into question. How much taxpayer money will be used to protect the investment of a company over investments on human health? How much money is given to law enforcement, military, and corporations in order to silence the people fighting for justice? 

 ",english,2016-11-07T05:52:48.156+02:00,realfarmacy.com,US,22432.0,$6 Million Later: North Dakota Police Can’t Afford The Pipeline Protest,0.0,http://www.realfarmacy.com/wp-content/uploads/2016/11/29744353476_c1f99b5697_o-e1478483880760.jpg,0,1,0,0,0,bs
